,CensusTract,TotalPop,Women,Income,Poverty,Transit,Employed,center_loc
0,36061000100,0,0,,,,0,[-74.04577173  40.69033065]
1,36061000201,2791,1490,20521.0,48.6,45.4,1105,[-73.98578267  40.71195127]
2,36061000202,7768,4454,29684.0,24.6,41.5,2667,[-73.98203768  40.70567958]
3,36061000500,0,0,,,,0,[-74.00950853  40.68550174]
4,36061000600,12554,6588,19863.0,44.7,37.0,4028,[-73.98995954  40.71111903]
5,36061000700,8794,4580,117841.0,10.6,62.3,6463,[-73.99850203  40.69929747]
6,36061000800,9465,4863,27137.0,28.9,43.1,4132,[-73.99419174  40.71115107]
7,36061000900,1626,680,147500.0,6.0,51.9,1120,[-74.00144274  40.69473091]
8,36061001001,1528,753,73239.0,5.8,52.6,695,[-73.97727414  40.71461666]
9,36061001002,6051,3674,17560.0,38.9,70.5,1882,[-73.97755569  40.71715083]
10,36061001200,3755,1848,41705.0,17.6,54.6,1709,[-73.98177659  40.7163664 ]
11,36061001300,4374,2478,123558.0,7.4,59.4,3419,[-74.01400914  40.70785556]
12,36061001401,3155,1667,76250.0,5.7,60.1,1734,[-73.98681592  40.71502037]
13,36061001402,2932,1617,24375.0,31.0,71.4,1470,[-73.98591595  40.71748507]
14,36061001501,6502,3495,81867.0,10.3,50.6,3663,[-73.99508716  40.7032758 ]
15,36061001502,7378,3714,133209.0,8.3,60.8,5231,[-73.99649946  40.70208348]
16,36061001600,7550,4098,31452.0,34.6,52.9,3813,[-73.9933406   40.71550578]
17,36061001800,8326,3585,59416.0,26.0,55.1,4951,[-73.99075722  40.71914638]
18,36061002000,4864,2771,16778.0,48.1,68.8,1373,[-73.97616489  40.72074542]
19,36061002100,6735,3251,,2.9,53.7,4160,[-74.01054161  40.71447033]
20,36061002201,6861,3616,34988.0,27.7,75.1,3016,[-73.98102179  40.71843295]
21,36061002202,2019,1147,68750.0,17.4,58.4,1492,[-73.98066613  40.72102881]
22,36061002400,5557,2965,22676.0,38.2,55.7,1988,[-73.9670652   40.71829207]
